product_category,product_name,brand,current_market_price,purchase_price,purchase_age_days,initial_warranty_days,warranty_left_days,condition_score,condition_grade,scratch_severity,dent_severity,crack_severity,usage_severity,missing_accessories,seller_description,resale_price
Smart Watches,Wave Call,Boat,36000,35400,208,180,0,95,A,0,0,0,0,FALSE,Like new condition. Original charger and box included.,28900
Washing Machines,Fully Automatic 6.5kg,Godrej,96800,113700,2433,180,0,27,Reject,6,1,5,7,FALSE,Crack on outer panel but usable. Visible scratches on body. Heavily used with visible wear.,9700
Mobile Phones,iPhone SE 512GB,Apple,73400,80100,747,1095,348,82,B,5,0,1,1,FALSE,Visible scratches on body.,29100
Smart Watches,Galaxy Watch 6,Samsung,41900,48700,671,730,59,75,B,5,0,0,3,FALSE,Visible scratches on body.,16650
Laptops,Envy x360,HP,31600,35400,1234,730,0,63,C,4,4,0,6,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,4100
Headphones,WH-1000XM5,Sony,8600,9900,1303,180,0,58,D,3,5,0,5,FALSE,Minor scratches on body. Noticeable dents. Moderate usage marks.,1100
Microwaves,Convection 30L,Whirlpool,12100,13000,79,1460,1381,93,A,0,2,0,0,FALSE,Like new condition. Original charger and box included.,11200
Smart Watches,Watch Series 8,Apple,26000,29100,853,545,0,92,A,0,0,0,0,FALSE,Barely used product with original packaging and invoice available.,12200
Refrigerators,Convertible 335L,LG,51900,56300,198,730,532,65,C,3,0,6,0,FALSE,Crack on outer panel but usable. Minor scratches on body.,16250
Mobile Phones,Galaxy S24 16GB RAM,Samsung,131000,127700,641,1460,819,90,A,0,1,1,0,FALSE,Like new condition. Original charger and box included.,66450
Refrigerators,Side-by-Side 653L,Samsung,72300,71100,1041,365,0,78,B,1,0,0,3,FALSE,Fully functional with light cosmetic wear.,31650
Smart Watches,Galaxy Watch 6 Classic,Samsung,42600,48700,1764,1825,61,5,Reject,5,9,8,9,FALSE,Major crack visible but product powers on. Visible scratches on body. Noticeable dents.,4260
Mobile Phones,Galaxy M35,Samsung,95400,91200,1579,1460,0,38,Reject,1,3,5,5,TRUE,Cracked corner but device works properly. Small dents. Moderate usage marks.,10800
Televisions,Crystal 4K 55 Smart TV,Samsung,28800,33600,206,730,524,94,A,0,0,0,0,TRUE,Missing original accessories or packaging.,24550
Washing Machines,Washer Dryer 10.5kg,LG,54100,57200,1444,1460,16,72,C,2,0,0,2,TRUE,Minor scratches on body. Missing original accessories or packaging.,14350
Tablets,Galaxy Tab S9 FE 64GB,Samsung,9500,9100,8,365,357,100,A,0,1,0,1,FALSE,Barely used product with original packaging and invoice available.,9000
Mobile Phones,iPhone 13,Apple,72900,78700,2334,365,0,56,D,3,4,0,6,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,7650
Washing Machines,Fully Automatic 6.5kg,Godrej,61000,64600,1383,1742,359,73,C,4,0,0,5,FALSE,Minor scratches on body. Moderate usage marks.,19650
Televisions,Neo QLED 75 Smart TV,Samsung,34400,33700,984,1758,774,77,B,0,1,0,2,TRUE,Missing original accessories or packaging.,11450
Tablets,Galaxy Tab S8 8GB RAM,Samsung,29700,28500,1536,1460,0,98,A,0,0,0,0,FALSE,Like new condition. Original charger and box included.,7200
Furniture,Steel Almirah,Godrej,95300,107800,1547,1825,278,24,Reject,3,2,6,7,TRUE,Crack on outer panel but usable. Minor scratches on body. Small dents.,15250
Headphones,Galaxy Buds2 Pro,Samsung,3000,3200,2015,1095,0,5,Reject,9,8,6,9,FALSE,Crack on outer panel but usable. Visible scratches on body. Noticeable dents.,300
Microwaves,Convection 28L,LG,12800,13400,636,1460,824,77,B,3,1,0,3,TRUE,Minor scratches on body. Missing original accessories or packaging.,5850
Microwaves,Eon 25L,Godrej,41900,48900,2116,545,0,85,B,0,0,0,1,FALSE,Fully functional with light cosmetic wear.,11250
Tablets,Galaxy Tab A9,Samsung,32600,38000,794,365,0,68,C,0,0,5,1,FALSE,Cracked corner but device works properly.,7500
Televisions,Frame 55,Samsung,59000,66100,1504,730,0,66,C,1,3,0,6,FALSE,Small dents. Moderate usage marks.,11250
Furniture,FRIHETEN Sofa,IKEA,10300,10900,509,545,36,98,A,1,0,0,0,FALSE,Barely used product with original packaging and invoice available.,9250
Smart Watches,Wave Call,Boat,56100,62200,2304,365,0,67,C,5,0,0,2,FALSE,Visible scratches on body. Refurbished and tested by seller.,7650
Headphones,Tune 760NC,JBL,14900,15200,196,971,775,5,Reject,10,10,8,10,TRUE,Major crack visible but product powers on. Visible scratches on body. Noticeable dents.,1500
Refrigerators,Eon 244L,Godrej,34300,38400,1935,1095,0,52,D,2,2,5,3,FALSE,Crack on outer panel but usable. Minor scratches on body. Small dents.,3450
Furniture,MALM Bed Frame,IKEA,103900,121400,1184,545,0,92,A,0,0,0,0,FALSE,Excellent condition with minimal signs of use. All accessories included.,76650
Smart Watches,Watch SE,Apple,25200,24200,149,180,31,100,A,0,0,0,0,FALSE,Excellent condition with minimal signs of use. All accessories included.,23150
Microwaves,Grill 25L,Whirlpool,19100,22900,2126,1095,0,54,D,1,2,4,5,FALSE,Crack on outer panel but usable. Small dents. Moderate usage marks.,2750
Microwaves,Convection 28L,Samsung,17100,16600,1969,1095,0,60,C,1,4,0,6,FALSE,Small dents. Moderate usage marks.,3300
Mobile Phones,iPhone 15,Apple,46100,52500,1461,1825,364,50,D,4,4,0,6,TRUE,Minor scratches on body. Small dents. Moderate usage marks.,4650
Tablets,iPad 9th Gen 16GB RAM,Apple,14700,16800,6,180,174,75,B,8,2,0,2,FALSE,Visible scratches on body. Small dents.,9000
Laptops,Yoga Slim 7 512GB,Lenovo,86600,104900,634,739,105,30,Reject,6,2,7,4,FALSE,Major crack visible but product powers on. Visible scratches on body. Small dents.,8660
Microwaves,Solo 20L,Godrej,19100,20000,989,730,0,72,C,5,0,0,5,FALSE,Visible scratches on body. Moderate usage marks.,6700
Microwaves,Convection 28L,LG,19400,21900,770,1095,325,91,A,2,0,0,0,FALSE,Excellent condition with minimal signs of use. All accessories included.,11000
Mobile Phones,iPhone 16,Apple,33600,32100,2216,1825,0,70,C,2,1,0,4,FALSE,Minor scratches on body. Moderate usage marks.,5550
Washing Machines,EcoBubble 7kg,Samsung,95000,92400,303,365,62,88,B,0,1,0,0,FALSE,Fully functional with light cosmetic wear.,72950
Mobile Phones,iPhone SE,Apple,90400,102300,1538,180,0,81,B,0,0,0,3,FALSE,Fully functional with light cosmetic wear.,22000
Smart Watches,Watch SE,Apple,33200,32700,1910,730,0,82,B,2,0,0,1,FALSE,Minor scratches on body.,9300
Televisions,QLED 65 Smart TV,Samsung,50600,58500,1178,428,0,80,B,1,0,0,5,FALSE,Moderate usage marks.,16300
Washing Machines,Front Load 9kg,LG,46900,53900,1696,1825,129,73,C,4,0,0,2,FALSE,Minor scratches on body.,10150
Refrigerators,Convertible 335L,LG,22400,26900,417,1825,1408,89,B,3,0,0,1,FALSE,Minor scratches on body.,15550
Washing Machines,Bloomwash 8kg,Whirlpool,28600,29200,1759,1825,66,54,D,8,0,0,8,FALSE,Visible scratches on body. Heavily used with visible wear.,4700
Televisions,Frame 55,Samsung,146300,142900,229,1825,1596,95,A,2,0,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,127100
Washing Machines,Front Load 9kg,LG,18000,21000,1620,180,0,18,Reject,3,2,9,5,TRUE,Major crack visible but product powers on. Minor scratches on body. Small dents.,1800
Furniture,Steel Almirah,Godrej,149300,144400,2003,1460,0,15,Reject,9,5,5,7,FALSE,Crack on outer panel but usable. Visible scratches on body. Noticeable dents.,23900
Smart Watches,Wena 3,Sony,4500,5200,1610,1517,0,35,Reject,4,3,4,5,TRUE,Cracked corner but device works properly. Minor scratches on body. Small dents.,450
Smart Watches,Watch Series 8,Apple,41200,44900,571,1227,656,53,D,3,0,5,6,FALSE,Cracked corner but device works properly. Minor scratches on body. Moderate usage marks.,8150
Washing Machines,Bloomwash 8kg,Whirlpool,90800,90200,93,1095,1002,46,D,8,6,1,10,FALSE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,20700
Washing Machines,Stainwash 7.5kg,Whirlpool,35100,37400,80,1460,1380,100,A,0,0,0,0,FALSE,Like new condition. Original charger and box included.,33345
Smart Watches,Watch SE,Apple,32500,33800,2167,180,0,54,D,5,5,0,6,FALSE,Visible scratches on body. Noticeable dents. Moderate usage marks.,3400
Furniture,LAGKAPTEN Desk,IKEA,5600,6600,906,1825,919,44,D,2,0,8,3,FALSE,Major crack visible but product powers on. Minor scratches on body.,1100
Headphones,WH-1000XM4,Sony,15300,16900,2239,1095,0,57,D,4,1,0,6,TRUE,Minor scratches on body. Moderate usage marks. Missing original accessories or packaging.,1550
Furniture,POANG Armchair,IKEA,21200,21100,2348,1825,0,5,Reject,10,10,3,7,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,3400
Smart Watches,Galaxy Watch 5,Samsung,37500,43200,1246,1460,214,48,D,2,0,5,4,FALSE,Cracked corner but device works properly. Minor scratches on body. Moderate usage marks.,5100
Furniture,Interio Wardrobe,Godrej,108200,130900,2262,545,0,36,Reject,10,2,1,7,TRUE,Visible scratches on body. Small dents. Heavily used with visible wear.,17300
Televisions,Neo QLED 75 Smart TV,Samsung,68900,66300,538,730,192,93,A,0,0,0,0,FALSE,Barely used product with original packaging and invoice available.,45900
Refrigerators,Eon 244L,Godrej,43200,52400,439,730,291,85,B,2,2,0,4,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,25450
Laptops,MacBook Pro 16 8GB RAM,Apple,134300,160800,744,730,0,7,Reject,7,4,9,6,TRUE,Major crack visible but product powers on. Visible scratches on body. Small dents.,13450
Laptops,G15 Gaming,Dell,150100,180500,2344,1417,0,53,D,7,1,0,8,FALSE,Visible scratches on body. Heavily used with visible wear.,15010
Smart Watches,Galaxy Watch 6 Classic,Samsung,20900,24200,597,1460,863,83,B,2,0,0,4,FALSE,Minor scratches on body. Moderate usage marks.,11150
Microwaves,Solo 20L,Godrej,15200,15700,1218,1095,0,56,D,8,2,0,3,FALSE,Visible scratches on body. Small dents.,3800
Furniture,FRIHETEN Sofa,IKEA,45200,50000,952,789,0,69,C,4,2,0,5,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,19950
Smart Watches,Wave Call,Boat,17900,19500,1491,1460,0,71,C,0,0,2,4,FALSE,Moderate usage marks.,3550
Mobile Phones,Galaxy Z Fold5 512GB,Samsung,65700,71900,1589,730,0,76,B,3,2,0,1,FALSE,Minor scratches on body. Small dents.,11150
Smart Watches,Galaxy Watch 6 Classic,Samsung,63800,73800,1675,1460,0,32,Reject,9,6,0,8,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,6600
Washing Machines,Stainwash 7.5kg,Whirlpool,23300,22900,487,763,276,32,Reject,9,9,0,8,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,2800
Headphones,Quantum 400,JBL,25100,25200,8,180,172,100,A,1,1,0,0,FALSE,Excellent condition with minimal signs of use. All accessories included.,23845
Furniture,Steel Almirah,Godrej,54000,53500,382,545,163,61,C,0,0,6,0,TRUE,Crack on outer panel but usable. Missing original accessories or packaging.,15400
Televisions,Bravia X90L 55,Sony,180300,181600,1445,180,0,73,C,2,3,0,2,FALSE,Minor scratches on body. Small dents.,34250
Televisions,Bravia OLED A80L,Sony,72600,82600,786,180,0,80,B,6,0,0,1,FALSE,Visible scratches on body.,26700
Washing Machines,Front Load 9kg,LG,49400,47800,1535,180,0,76,B,0,1,0,2,FALSE,Fully functional with light cosmetic wear.,15650
Refrigerators,Double Door 253L,Samsung,17700,17900,2455,545,0,63,C,5,0,0,4,FALSE,Visible scratches on body. Moderate usage marks. Refurbished and tested by seller.,2500
Furniture,LAGKAPTEN Desk,IKEA,95200,110500,1712,180,0,88,B,0,0,0,0,FALSE,Fully functional with light cosmetic wear.,53450
Refrigerators,Triple Door 300L,Whirlpool,67300,77500,13,545,532,95,A,0,0,0,2,FALSE,Like new condition. Original charger and box included.,63935
Laptops,Latitude 5440,Dell,147900,141300,1498,1460,0,9,Reject,7,7,6,7,FALSE,Cracked corner but device works properly. Visible scratches on body. Noticeable dents.,14800
Washing Machines,Bloomwash 8kg,Whirlpool,16400,15600,725,920,195,12,Reject,6,3,10,5,FALSE,Major crack visible but product powers on. Visible scratches on body. Small dents.,1650
Mobile Phones,Galaxy M35 512GB,Samsung,54100,60800,628,1095,467,41,D,9,4,2,8,FALSE,Visible scratches on body. Small dents. Heavily used with visible wear.,6450
Laptops,IdeaPad Slim 3 128GB,Lenovo,131600,130100,1630,180,0,26,Reject,6,1,6,7,FALSE,Cracked corner but device works properly. Visible scratches on body. Heavily used with visible wear.,13160
Laptops,XPS 15 16GB RAM,Dell,73600,80300,1634,180,0,5,Reject,9,4,8,9,FALSE,Major crack visible but product powers on. Visible scratches on body. Small dents.,7360
Microwaves,Solo 20L,Samsung,29100,35100,30,545,515,94,A,2,0,0,2,FALSE,Excellent condition with minimal signs of use. All accessories included.,27645
Smart Watches,Galaxy Watch 6,Samsung,41500,44700,1203,365,0,79,B,1,2,0,3,FALSE,Small dents.,11050
Laptops,Legion 5 128GB,Lenovo,90500,108100,1,545,544,97,A,2,0,0,2,FALSE,Barely used product with original packaging and invoice available.,85975
Microwaves,Grill 25L,Whirlpool,20300,21400,943,1825,882,74,C,0,2,0,6,FALSE,Small dents. Moderate usage marks.,8250
Tablets,iPad Air 256GB,Apple,25000,29100,1501,730,0,63,C,7,0,0,4,FALSE,Visible scratches on body. Moderate usage marks.,3200
Furniture,Steel Almirah,Godrej,38600,39800,20,1460,1440,100,A,1,0,0,1,FALSE,Barely used product with original packaging and invoice available.,36650
Washing Machines,Front Load 8kg,Samsung,36700,41000,1383,1825,442,16,Reject,7,0,10,5,FALSE,Major crack visible but product powers on. Visible scratches on body. Moderate usage marks.,3670
Televisions,NanoCell 50 Smart TV,LG,161700,164500,2422,365,0,14,Reject,10,6,2,10,FALSE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,16170
Furniture,Study Table,Godrej,66100,67700,43,730,687,90,A,1,0,0,2,FALSE,Like new condition. Original charger and box included.,62795
Tablets,iPad Pro 11 256GB,Apple,35800,39900,1372,1095,0,33,Reject,2,3,8,2,FALSE,Major crack visible but product powers on. Minor scratches on body. Small dents.,3600
Laptops,Spectre x360,HP,96500,112400,21,545,524,92,A,1,0,0,4,FALSE,Moderate usage marks.,91675
Laptops,ThinkPad E14 8GB RAM,Lenovo,29300,32000,742,1047,305,74,C,3,0,0,3,FALSE,Minor scratches on body.,11900
Refrigerators,Magicool 190L,Whirlpool,52500,63800,59,1095,1036,100,A,2,0,0,2,FALSE,Excellent condition with minimal signs of use. All accessories included.,49875
Mobile Phones,Galaxy Z Flip5 16GB RAM,Samsung,105700,114100,856,1825,969,68,C,0,1,5,1,FALSE,Cracked corner but device works properly.,22600
Washing Machines,EcoBubble 7kg,Samsung,22700,23000,1034,180,0,58,D,5,2,0,6,FALSE,Visible scratches on body. Small dents. Moderate usage marks. Refurbished and tested by seller.,6100
Microwaves,Solo 20L,LG,49700,50000,664,1095,431,79,B,0,3,0,3,FALSE,Small dents.,24450
Tablets,Tab P11,Lenovo,55300,55000,1224,1460,236,93,A,0,1,0,1,FALSE,Barely used product with original packaging and invoice available.,20850
Televisions,Frame 55 Smart TV,Samsung,137100,155900,1295,1095,0,58,D,3,2,0,6,TRUE,Minor scratches on body. Small dents. Moderate usage marks.,19150
Refrigerators,Frost Free 260L,LG,36600,39900,1886,545,0,37,Reject,3,0,6,6,FALSE,Crack on outer panel but usable. Minor scratches on body. Moderate usage marks.,3660
Microwaves,Solo 20L,Godrej,21000,20800,1385,561,0,7,Reject,8,9,6,7,FALSE,Crack on outer panel but usable. Visible scratches on body. Noticeable dents.,2100
Microwaves,Convection 28L,LG,17500,18200,2200,730,0,59,D,8,1,0,3,FALSE,Visible scratches on body.,2000
Microwaves,Solo 20L,Godrej,16600,19900,1925,180,0,71,C,3,0,0,5,FALSE,Minor scratches on body. Moderate usage marks.,3950
Mobile Phones,Galaxy Z Fold5 256GB,Samsung,31600,34100,1190,730,0,66,C,0,4,0,4,TRUE,Small dents. Moderate usage marks. Missing original accessories or packaging. Refurbished and tested by seller.,4850
Furniture,Sofa Cum Bed,Godrej,94300,100600,1407,180,0,66,C,5,2,0,3,FALSE,Visible scratches on body. Small dents.,35000
Furniture,FRIHETEN Sofa,IKEA,47200,53500,1793,180,0,74,C,1,1,0,3,FALSE,Fully functional with light cosmetic wear.,22700
Tablets,Galaxy Tab A9 512GB,Samsung,13100,14200,528,180,0,29,Reject,3,4,9,3,FALSE,Major crack visible but product powers on. Minor scratches on body. Small dents.,2000
Washing Machines,Washer Dryer 10.5kg,LG,32000,32800,44,365,321,100,A,0,0,0,1,FALSE,Like new condition. Original charger and box included.,30400
Refrigerators,Eon 244L,Godrej,17100,18500,1888,1460,0,47,D,3,0,5,3,FALSE,Crack on outer panel but usable. Minor scratches on body.,1710
Refrigerators,Side-by-Side 653L,Samsung,39100,47100,2307,365,0,28,Reject,3,4,5,5,FALSE,Crack on outer panel but usable. Minor scratches on body. Small dents.,3910
Refrigerators,Convertible 335L,LG,127100,131000,1857,545,0,46,D,6,3,0,7,TRUE,Visible scratches on body. Small dents. Heavily used with visible wear.,17050
Refrigerators,Frost Free 260L,LG,128900,128300,2241,1095,0,46,D,4,5,0,5,TRUE,Minor scratches on body. Noticeable dents. Moderate usage marks.,12900
Headphones,AirPods Max,Apple,26000,28100,91,1095,1004,11,Reject,10,4,8,7,TRUE,Major crack visible but product powers on. Visible scratches on body. Small dents.,2600
Refrigerators,Convertible 324L,Samsung,17900,17600,363,730,367,93,A,1,3,0,0,FALSE,Small dents.,12800
Smart Watches,Lunar Connect,Boat,24200,23800,1772,545,0,83,B,0,1,0,1,FALSE,Fully functional with light cosmetic wear.,5000
Mobile Phones,iPhone 16 16GB RAM,Apple,100300,106400,2296,545,0,57,D,5,0,0,7,FALSE,Visible scratches on body. Heavily used with visible wear. Refurbished and tested by seller.,13900
Furniture,FRIHETEN Sofa,IKEA,87300,103700,889,1460,571,96,A,0,0,0,1,FALSE,Barely used product with original packaging and invoice available.,78550
Washing Machines,Eon 7kg,Godrej,99300,102900,47,730,683,100,A,0,1,0,0,FALSE,Barely used product with original packaging and invoice available.,94335
Smart Watches,Galaxy Watch 5,Samsung,49400,53300,32,1825,1793,95,A,0,1,0,2,FALSE,Barely used product with original packaging and invoice available.,46930
Microwaves,Convection 30L,Godrej,45000,48900,1546,730,0,19,Reject,5,10,3,10,FALSE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,4500
Mobile Phones,Galaxy Z Fold5,Samsung,78500,95500,56,1095,1039,100,A,0,0,0,1,FALSE,Like new condition. Original charger and box included.,74575
Smart Watches,SmartWatch 3,Sony,37300,40800,1124,180,0,50,D,3,0,7,3,FALSE,Major crack visible but product powers on. Minor scratches on body.,3750
Televisions,Bravia X90L 55,Sony,177800,185100,2367,545,0,20,Reject,7,8,2,9,FALSE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,17800
Laptops,G15 Gaming,Dell,155200,184200,1274,545,0,57,D,3,4,0,5,TRUE,Minor scratches on body. Small dents. Moderate usage marks.,20150
Smart Watches,Galaxy Watch 5,Samsung,23500,23800,1799,1095,0,62,C,3,0,0,6,TRUE,Minor scratches on body. Moderate usage marks. Missing original accessories or packaging.,3400
Laptops,Legion 5 128GB,Lenovo,203900,232600,2103,180,0,46,D,5,4,0,4,TRUE,Visible scratches on body. Small dents. Moderate usage marks.,20400
Washing Machines,EcoBubble 7kg,Samsung,76100,79100,34,1825,1791,96,A,2,0,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,72295
Headphones,Quantum 400,JBL,15900,18000,949,1203,254,32,Reject,7,10,0,8,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,1600
Headphones,WF-1000XM5,Sony,34500,37200,29,365,336,65,C,2,1,7,0,FALSE,Major crack visible but product powers on. Minor scratches on body. Refurbished and tested by seller.,10650
Microwaves,Convection 28L,LG,40200,48200,1848,730,0,65,C,8,2,0,1,FALSE,Visible scratches on body. Small dents. Refurbished and tested by seller.,5750
Washing Machines,Stainwash 7.5kg,Whirlpool,30300,33500,774,1706,932,68,C,5,2,0,4,FALSE,Visible scratches on body. Small dents. Moderate usage marks.,10650
Laptops,Envy x360,HP,65700,68500,1349,545,0,26,Reject,4,0,7,7,TRUE,Major crack visible but product powers on. Minor scratches on body. Heavily used with visible wear.,6570
Laptops,IdeaPad Slim 3,Lenovo,106200,127000,1166,1460,294,53,D,2,4,4,3,FALSE,Cracked corner but device works properly. Minor scratches on body. Small dents.,10620
Microwaves,Solo 20L,Samsung,9000,11000,424,1095,671,94,A,1,2,0,0,FALSE,Barely used product with original packaging and invoice available.,6800
Headphones,AirPods Max,Apple,11800,13800,1284,1460,176,58,D,2,0,4,2,FALSE,Crack on outer panel but usable. Minor scratches on body.,1650
Washing Machines,Fully Automatic 6.5kg,Godrej,36000,42600,1122,1485,363,86,B,0,0,2,0,FALSE,Fully functional with light cosmetic wear.,16550
Televisions,Bravia OLED A80L Smart TV,Sony,121000,120600,37,730,693,94,A,1,1,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,114950
Smart Watches,Storm Pro,Boat,13700,13600,2292,1561,0,59,D,3,1,3,2,FALSE,Minor scratches on body.,2150
Televisions,QLED 65,Samsung,95300,92200,1663,180,0,23,Reject,8,6,3,8,FALSE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,9550
Headphones,Live 660NC,JBL,36700,39000,16,223,207,93,A,1,0,0,2,FALSE,Barely used product with original packaging and invoice available.,34850
Washing Machines,Inverter 7kg,LG,13800,14200,2338,730,0,63,C,5,2,0,2,FALSE,Visible scratches on body. Small dents.,1500
Washing Machines,Washer Dryer 10.5kg,LG,47900,53200,1102,1825,723,74,C,4,1,0,4,FALSE,Minor scratches on body. Moderate usage marks. Refurbished and tested by seller.,16550
Laptops,Legion 5 8GB RAM,Lenovo,105900,119600,611,545,0,83,B,3,1,0,2,FALSE,Minor scratches on body.,49150
Refrigerators,Edge 205L,Godrej,27000,26700,161,1825,1664,26,Reject,2,3,9,5,TRUE,Major crack visible but product powers on. Minor scratches on body. Small dents.,2700
Refrigerators,Double Door 253L,Samsung,51900,52200,2432,180,0,49,D,2,6,0,7,FALSE,Minor scratches on body. Noticeable dents. Heavily used with visible wear. Refurbished and tested by seller.,5200
Washing Machines,Inverter 7kg,LG,60700,61500,2129,652,0,20,Reject,6,7,2,8,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,6070
Smart Watches,SmartWatch 3,Sony,4200,4600,1029,730,0,78,B,3,2,0,4,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,1250
Headphones,CH720N,Sony,28600,33400,2243,180,0,69,C,4,1,0,1,FALSE,Minor scratches on body.,4150
Laptops,Yoga Slim 7,Lenovo,94500,95000,591,1460,869,97,A,0,0,0,0,FALSE,Like new condition. Original charger and box included.,62850
Microwaves,Solo 20L,LG,20400,23100,544,730,186,99,A,0,0,0,0,FALSE,Like new condition. Original charger and box included.,16000
Refrigerators,Double Door 253L,Samsung,40400,46400,1723,1460,0,71,C,0,0,0,2,TRUE,Missing original accessories or packaging.,10800
Mobile Phones,Galaxy Z Fold5 256GB,Samsung,37300,37800,2364,1825,0,62,C,7,2,0,3,FALSE,Visible scratches on body. Small dents.,5450
Headphones,Galaxy Buds2 Pro,Samsung,16600,19900,1641,675,0,57,D,7,2,0,4,FALSE,Visible scratches on body. Small dents. Moderate usage marks.,1660
Smart Watches,Lunar Connect,Boat,18400,19800,1925,299,0,20,Reject,2,1,10,3,TRUE,Major crack visible but product powers on. Minor scratches on body. Missing original accessories or packaging.,1850
Smart Watches,Wena 3,Sony,27800,26900,1890,545,0,16,Reject,7,1,7,7,FALSE,Major crack visible but product powers on. Visible scratches on body. Heavily used with visible wear.,2800
Washing Machines,EcoBubble 7kg,Samsung,107500,118300,1765,180,0,17,Reject,7,3,8,5,FALSE,Major crack visible but product powers on. Visible scratches on body. Small dents.,10750
Microwaves,Grill 25L,Whirlpool,36500,41000,239,180,0,97,A,0,0,0,0,FALSE,Barely used product with original packaging and invoice available.,29550
Laptops,MacBook Pro 14 512GB,Apple,174500,210200,1230,702,0,58,D,0,0,6,1,FALSE,Cracked corner but device works properly.,24150
Laptops,Latitude 5440,Dell,134100,135200,53,1460,1407,94,A,1,1,0,2,FALSE,Excellent condition with minimal signs of use. All accessories included.,127395
Mobile Phones,iPhone 14 8GB RAM,Apple,86300,94300,2492,545,0,68,C,4,1,0,2,FALSE,Minor scratches on body. Refurbished and tested by seller.,12450
Laptops,Spectre x360 128GB,HP,108100,115600,1353,1825,472,79,B,2,1,0,3,FALSE,Minor scratches on body.,29950
Microwaves,Solo 20L,Godrej,7700,8600,1660,1460,0,84,B,0,0,0,2,FALSE,Fully functional with light cosmetic wear.,2850
Laptops,Omen 16,HP,53200,61800,412,1460,1048,90,A,3,0,0,2,FALSE,Minor scratches on body.,32600
Mobile Phones,iPhone 13 256GB,Apple,127700,152800,1536,180,0,68,C,6,0,0,4,FALSE,Visible scratches on body. Moderate usage marks.,19700
Refrigerators,Side-by-Side 653L,Samsung,40800,42200,2430,1825,0,36,Reject,7,3,0,8,TRUE,Visible scratches on body. Small dents. Heavily used with visible wear.,4100
Smart Watches,Galaxy Watch 6 Classic,Samsung,39900,44100,71,365,294,91,A,4,2,0,0,FALSE,Minor scratches on body. Small dents.,31750
Tablets,iPad 9th Gen,Apple,26100,29700,1930,1460,0,66,C,3,0,0,4,TRUE,Minor scratches on body. Moderate usage marks. Missing original accessories or packaging.,5450
Tablets,Tab M10,Lenovo,60400,72000,301,1460,1159,91,A,0,0,0,0,TRUE,Missing original accessories or packaging.,43500
Tablets,Yoga Tab 11,Lenovo,15800,15700,802,545,0,85,B,0,0,1,0,FALSE,Fully functional with light cosmetic wear.,6700
Refrigerators,NXW 470L,Godrej,72400,70500,432,1825,1393,93,A,0,0,0,2,FALSE,Like new condition. Original charger and box included.,59700
Mobile Phones,iPhone 15 Pro 64GB,Apple,93000,100900,2281,180,0,62,C,8,1,0,1,FALSE,Visible scratches on body. Refurbished and tested by seller.,9300
Mobile Phones,iPhone 15 256GB,Apple,52400,55900,48,1460,1412,96,A,0,1,0,0,FALSE,Barely used product with original packaging and invoice available.,49780
Televisions,OLED C3 55,LG,124500,136200,66,1460,1394,87,B,1,0,3,0,FALSE,Fully functional with light cosmetic wear.,91100
Microwaves,Convection 30L,Godrej,44500,49300,1171,545,0,80,B,0,3,0,2,FALSE,Small dents.,19050
Washing Machines,Washer Dryer 10.5kg,LG,103100,114500,1585,1825,240,80,B,3,0,0,4,FALSE,Minor scratches on body. Moderate usage marks.,29550
Washing Machines,Fully Automatic 6.5kg,Godrej,20600,20400,5,1095,1090,100,A,1,1,0,0,FALSE,Like new condition. Original charger and box included.,19550
Headphones,Galaxy Buds2,Samsung,8600,10400,3,1460,1457,99,A,0,0,0,0,FALSE,Like new condition. Original charger and box included.,8150
Refrigerators,InstaView 674L,LG,29000,33100,1522,180,0,60,C,6,1,0,5,TRUE,Visible scratches on body. Moderate usage marks. Missing original accessories or packaging. Refurbished and tested by seller.,6350
Laptops,G15 Gaming 256GB,Dell,101100,109200,2205,1797,0,44,D,8,4,0,5,FALSE,Visible scratches on body. Small dents. Moderate usage marks.,10110
Mobile Phones,iPhone 13,Apple,78800,82200,2318,365,0,27,Reject,0,0,7,5,TRUE,Major crack visible but product powers on. Moderate usage marks. Missing original accessories or packaging.,7950
Microwaves,Eon 25L,Godrej,33600,40900,1421,1825,404,14,Reject,7,2,9,7,FALSE,Major crack visible but product powers on. Visible scratches on body. Small dents.,3360
